sentence,relation
OBJECTIVE: Recent reports have suggested an association between consumption of coffee or decaffeinated coffee and the risk of rheumatoid arthritis ( RA ) although data are sparse and somewhat inconsistent. ,Association
We studied whether coffee  decaffeinated coffee total coffee tea or overall caffeine consumption was associated with the risk of RA  using the Nurses' Health Study a longitudinal cohort study of 121701 women. ,Negative
We studied whether coffee decaffeinated coffee  total coffee tea or overall caffeine consumption was associated with the risk of RA  using the Nurses' Health Study a longitudinal cohort study of 121701 women. ,Negative
We studied whether coffee decaffeinated coffee total coffee  tea or overall caffeine consumption was associated with the risk of RA  using the Nurses' Health Study a longitudinal cohort study of 121701 women. ,Negative
We studied whether coffee decaffeinated coffee total coffee tea  or overall caffeine consumption was associated with the risk of RA  using the Nurses' Health Study a longitudinal cohort study of 121701 women. ,Negative
RESULTS: We did not find a significant association between decaffeinated coffee consumption of >/=4 cups/day (compared with no decaffeinated coffee consumption) and subsequent risk of incident RA  in either an adjusted multivariate model (relative risk [RR] 1.1 95% confidence interval [95% CI] 0.5-2.2) or a multivariate model using only baseline reports of decaffeinated coffee consumption (RR 1.0 95% CI 0.6-1.7). ,Negative
RESULTS: We did not find a significant association between decaffeinated coffee consumption of >/=4 cups/day (compared with no decaffeinated coffee consumption) and subsequent risk of incident RA  in either an adjusted multivariate model (relative risk [RR] 1.1 95% confidence interval [95% CI] 0.5-2.2) or a multivariate model using only baseline reports of decaffeinated coffee consumption (RR 1.0 95% CI 0.6-1.7). ,Negative
RESULTS: We did not find a significant association between decaffeinated coffee consumption of >/=4 cups/day (compared with no decaffeinated coffee consumption) and subsequent risk of incident RA  in either an adjusted multivariate model (relative risk [RR] 1.1 95% confidence interval [95% CI] 0.5-2.2) or a multivariate model using only baseline reports of decaffeinated coffee consumption (RR 1.0 95% CI 0.6-1.7). ,Negative
Similarly there was no relationship between cumulative caffeinated coffee consumption and RA risk (RR 1.1 95% CI 0.8-1.6 for >/=4 cups per day versus none) or between tea consumption and RA risk (RR 1.1 95% CI 0.7-1.8 for >3 cups/day versus none). ,Negative
Similarly there was no relationship between cumulative caffeinated coffee consumption and RA risk (RR 1.1 95% CI 0.8-1.6 for >/=4 cups per day versus none) or between tea consumption and RA risk (RR 1.1 95% CI 0.7-1.8 for >3 cups/day versus none). ,Negative
Similarly there was no relationship between cumulative caffeinated coffee consumption and RA risk (RR 1.1 95% CI 0.8-1.6 for >/=4 cups per day versus none) or between tea consumption and RA risk (RR 1.1 95% CI 0.7-1.8 for >3 cups/day versus none). ,Negative
Similarly there was no relationship between cumulative caffeinated coffee consumption and RA risk (RR 1.1 95% CI 0.8-1.6 for >/=4 cups per day versus none) or between tea consumption and RA risk (RR 1.1 95% CI 0.7-1.8 for >3 cups/day versus none). ,Negative
Total coffee and total caffeine consumption were also not associated with the risk of RA . ,Negative
CONCLUSION: In this large prospective study we find little evidence of an association between coffee  decaffeinated coffee or tea consumption and the risk of RA among women. ,Negative
CONCLUSION: In this large prospective study we find little evidence of an association between coffee decaffeinated coffee  or tea consumption and the risk of RA among women. ,Negative
CONCLUSION: In this large prospective study we find little evidence of an association between coffee decaffeinated coffee or tea consumption and the risk of RA among women. ,Negative
While alcohol was initially described as a risk enhancer only in smokers a number of epidemiological studies have now shown that chronic alcohol consumption increases the risk of head and neck cancer independently of exposure to tobacco smoke. ,Negative
The study was part of a community-based comprehensive cross-sectional study designed to assess a broad array of knowledge attitudes and behaviors on tobacco use and tobacco-related cancer issues in the target multi-ethnic and multi-lingual Asian-American community. ,Negative
The study was part of a community-based comprehensive cross-sectional study designed to assess a broad array of knowledge attitudes and behaviors on tobacco use and tobacco -related cancer issues in the target multi-ethnic and multi-lingual Asian-American community. ,Cause_of_disease
Increased consumption of tomato products is associated with a decreased risk of cancer . ,Treatment_of_disease
Phase II double-blind randomized study comparing oral aloe vera versus placebo to prevent radiation-related mucositis in patients with head-and-neck neoplasms . ,Negative
Phase II double-blind randomized study comparing oral aloe vera versus placebo to prevent radiation-related mucositis in patients with head-and-neck neoplasms. ,Negative
PURPOSE: In a single-institution double-blind prospective randomized trial we determined whether oral aloe vera gel can reduce radiation-induced mucositis in head-and-neck cancer patients. ,Negative
PURPOSE: In a single-institution double-blind prospective randomized trial we determined whether oral aloe vera gel can reduce radiation-induced mucositis in head-and-neck cancer patients. ,Negative
METHODS AND MATERIALS: We randomized 58 head-and-neck cancer patients between oral aloe vera and placebo. ,Negative
Oral aloe vera did not improve tolerance to head-and-neck radiotherapy decrease mucositis  reduce soreness or otherwise improve patient well-being. ,Negative
Oral aloe vera did not improve tolerance to head-and-neck radiotherapy decrease mucositis reduce soreness  or otherwise improve patient well-being. ,Negative
With the highest tobacco abuse prevalence among all minorities American Indians incur high rates of tobacco-related cancers . ,Cause_of_disease
With the highest tobacco abuse prevalence among all minorities American Indians incur high rates of tobacco -related cancers . ,Cause_of_disease
Effects of Ginkgo biloba on exhaled nasal nitric oxide during normobaric hypoxia in humans. ,Negative
 Ginkgo biloba  an extract of the ginkgo tree may prevent or lessen symptoms of acute mountain sickness in humans. ,Treatment_of_disease
Ginkgo biloba an extract of the ginkgo tree may prevent or lessen symptoms of acute mountain sickness in humans. ,Treatment_of_disease
We measured exhaled nasal NO output in humans (n = 9) during normoxia and then during acute normobaric hypoxia (goal oxyhemoglobin saturation 75% to 85%) before and after administration of a standardized extract of Ginkgo biloba (120 mg twice daily for 5 days). ,Negative
